Id	Sps	ProcCoord1	ProcCoord2	ProcCoord3	ProcCoord4	ProcCoord5	ProcCoord6	ProcCoord7	ProcCoord8	ProcCoord9	ProcCoord10	ProcCoord11	ProcCoord12	ProcCoord13	ProcCoord14	ProcCoord15	ProcCoord16	ProcCoord17	ProcCoord18	ProcCoord19	ProcCoord20	ProcCoord21	ProcCoord22	ProcCoord23	ProcCoord24	ProcCoord25	ProcCoord26	ProcCoord27	ProcCoord28	ProcCoord29	ProcCoord30	ProcCoord31	ProcCoord32	ProcCoord33	ProcCoord34	ProcCoord35	ProcCoord36	ProcCoord37	ProcCoord38	ProcCoord39	ProcCoord40
1	C. erythrocnemis	-0.33815587734343566	-0.08319346630058994	-0.3187559649638465	-0.04592367489225828	-0.2934189124077178	-0.013254550959125408	-0.26290902553009604	0.013817953544874667	-0.22579797365987692	0.03102447965852006	-0.18427350245657584	0.03452952110648558	-0.143273248415335	0.028162107187381553	-0.10216299810638782	0.020909328762525266	-0.060733089293963136	0.018148403885984585	-0.019523950397776227	0.017140219524462548	0.021686144373647468	0.016127279393187293	0.06377178414649474	0.015227815009912646	0.10464947277027813	0.016847491690649998	0.14562490027441471	0.024701518433088376	0.18704311304438068	0.029041854064467226	0.2290061697856588	0.028962738382832236	0.2651753503728913	0.011201954209230994	0.29629369507143666	-0.016127044240623334	0.31524976718023023	-0.05301938992508492	0.32050414555557694	-0.09432453853592171
3	C. erythrocnemis	-0.34959077665344196	-0.07178766793477247	-0.32641590577948604	-0.039006047122602146	-0.29582836653969014	-0.01180540344640281	-0.25851202981611604	0.004732554249865621	-0.21985866359330417	0.016295263740780074	-0.17981129852521058	0.021879956398747236	-0.139314151978544	0.020429977181017762	-0.0988817191286891	0.0199708153964325	-0.058703806846128734	0.023522590202045352	-0.018524419756158608	0.027076668496261627	0.022721130822842238	0.029687644289959056	0.06328317471340951	0.027229719491652395	0.10297136455900065	0.022709708058755072	0.14378822651714535	0.016246063782288708	0.18403142161671346	0.018783268221479656	0.22464472810478311	0.0152650455383947	0.26354417768207145	0.00655682783554468	0.2990360023718279	-0.012461801626823088	0.31641640510390756	-0.047732739449550685	0.32500450712506873	-0.08759244330307231
4	C. erythrocnemis	-0.3495757097199715	-0.08446355566335104	-0.32083138316958837	-0.05441812833984703	-0.29001916726302485	-0.026692880673483833	-0.2561735139656194	-0.0020260834411472486	-0.22122794942959836	0.02103643142644686	-0.18278391141418335	0.03764630703570906	-0.14195007030361034	0.0433379989945602	-0.1005448137330191	0.03873381399851672	-0.05937643721904195	0.035828439279929965	-0.017714352002992616	0.035585419356351004	0.022708163759806155	0.025662351686243756	0.06313092363652487	0.015741605236189064	0.10392829068777942	0.009332642914874997	0.14549286452369364	0.0159847572411662	0.1864452847538153	0.020811813346358968	0.2278607820387685	0.02220803053425683	0.2680100012757589	0.013879066715002643	0.29559533041422403	-0.01610440486738369	0.3081149570801473	-0.05598066556089345	0.3189107100501306	-0.09610295921950053
5	C. erythrocnemis	-0.33526489231536766	-0.08448474646026008	-0.31794553769323514	-0.04697609688118924	-0.2930054859446726	-0.014393240961476483	-0.26076144743528534	0.010380327891073737	-0.22504876163437407	0.0321218911694698	-0.18528751290005246	0.03507040073478404	-0.1439832028875232	0.03084638583430745	-0.10299683714289389	0.023738270130094156	-0.06195411899033756	0.025058013823680704	-0.021610632128326736	0.02529514201859364	0.0198870964978486	0.02016759050151569	0.061000789388473614	0.016829281573957508	0.10262396330712976	0.015474804501651103	0.1432862256231944	0.018581256214405047	0.18452312633259696	0.018992731097133623	0.22555473180270014	0.020243773673347183	0.26350045959362156	0.009560174045266365	0.29554670225499136	-0.017382238569203304	0.3193898229187002	-0.04984331206854751	0.3325455113528118	-0.089280408268603
6	C. erythrocnemis	-0.34929738895759865	-0.06968990939122166	-0.3241404031213186	-0.03691536046502604	-0.2971435063240372	-0.005952965268199856	-0.2619517092776761	0.015117424078335225	-0.22125328998376503	0.023571281824802903	-0.18050602728061624	0.02657802252883834	-0.1405793922425092	0.01783919455005828	-0.09978194048446289	0.013594510207782953	-0.05899615798520354	0.011157295336363726	-0.017307766062540555	0.008728845621458552	0.023458806549548433	0.009890321997126906	0.06513200475292615	0.010160305198210972	0.10494832369281802	0.01943140130201074	0.14565956692908144	0.02960330066483818	0.18640814967409455	0.03345279592212526	0.22808164282251103	0.030941462015467058	0.26530384955766445	0.013917678317786855	0.2971288893290271	-0.012200747151615086	0.31546539998901796	-0.04923957597245045	0.31937094842304004	-0.08998528131669244
7	C. erythrocnemis	-0.34211301646992387	-0.08015275944149607	-0.3211130656841275	-0.044570079814971346	-0.2964645222970664	-0.011612761667747211	-0.26143731711270884	0.010198747825314491	-0.22433420380383295	0.025911491208061695	-0.18310131502215782	0.029453727620240334	-0.14222427518418684	0.028644123626879927	-0.10049848492877361	0.022624213551908433	-0.05945278556753804	0.020768911873970303	-0.018745664476283168	0.020995911955717053	0.022982144199172803	0.014977669327607062	0.06386039944754988	0.01416227716257288	0.104929509708688	0.018721578471973168	0.14616855174632343	0.02223710980730046	0.18757608146829816	0.02470036858186175	0.22914333599997413	0.02608174339441612	0.26873373515769455	0.013211944324441425	0.29854902682929874	-0.01196514933115208	0.3094001627249404	-0.05200161530221764	0.3181417032646597	-0.09238745317467865
8	C. erythrocnemis	-0.3372751203869048	-0.08628153884723579	-0.3163486333133981	-0.05121853396652641	-0.29348914134872556	-0.015912611807904244	-0.26372238078058197	0.011475146731597857	-0.22374862343223834	0.020612196226077968	-0.18255756731909004	0.02793604329133675	-0.14203626329511654	0.02537971811042908	-0.10055357452215584	0.02294369137163245	-0.05982212732751629	0.02628120821967675	-0.019966312261117142	0.036353128458917264	0.021392198321067275	0.03487984246733164	0.0615781308478103	0.027385900305341423	0.10281185278191267	0.026877792804244037	0.14475709700218073	0.02841685700760547	0.18565409162383611	0.022966115887773315	0.2265459760127126	0.01749451407242492	0.2643284024878985	0.005725759422101052	0.29447796256576436	-0.022703711672918063	0.3139451261498219	-0.059378278041684496	0.3240289061938406	-0.09923324004022097
9	C. erythrocnemis	-0.3496066718853972	-0.07414009203138552	-0.32889574323153836	-0.03859904041805241	-0.295448047251211	-0.01283269442020394	-0.2584384971393621	0.006301584045660627	-0.22132867805190257	0.02442964322470395	-0.1803204016664945	0.03199640434872002	-0.1398087886542714	0.02269153545075226	-0.09921211890840825	0.012396746817039579	-0.057255183754597636	0.00914613106629969	-0.015641013787825866	0.00982221423426032	0.02597398289677256	0.010494184229828509	0.065490123314302	0.02383795366794506	0.10658989001651303	0.030403004346650983	0.14803359057101773	0.0330399575126259	0.1896479605157977	0.03370366414211015	0.2320624517695434	0.03637859771550577	0.2657243354870235	0.014514150747657367	0.2904901477946884	-0.019036150049399056	0.30772208933731965	-0.057216145948949436	0.31422057262803094	-0.09733164868176884
10	C. erythrocnemis	-0.3540335745560397	-0.06819573371292353	-0.3273440660941984	-0.038491461134476504	-0.29418469175185985	-0.015345915222585126	-0.25728702559314554	8.608023924513986E-4	-0.21768739403119566	0.010911699639853393	-0.1783704583287421	0.01625624575720983	-0.13813842676530694	0.02170188792185168	-0.09852481282757262	0.031689804202769865	-0.05858730584069805	0.03245367762065058	-0.018154541096154744	0.02957775445930728	0.02252612176854983	0.02487602520568698	0.0625434755235051	0.018232272511607715	0.10314774219619227	0.02094479238095331	0.14308841490186128	0.021709036847645524	0.1840615135816279	0.021673570978019405	0.2246073124836278	0.01782912434940313	0.26313540927644635	0.0080992224800909	0.2952860498130202	-0.016437533035234382	0.317465497865476	-0.04975966735379183	0.32645075947460617	-0.08858560628849016
11	C. erythrocnemis	-0.34170248150193955	-0.08156402888246542	-0.3182079730610092	-0.04734243486698548	-0.2930077251926521	-0.015584842992102922	-0.2614631280171384	0.0111307132984182	-0.2243409990681258	0.02867839208774692	-0.18421442618025008	0.03241784701758683	-0.14278466508469845	0.0316235175779536	-0.10199750529256595	0.029654923622506376	-0.06082900316327267	0.02975262393580894	-0.019262253770335504	0.025092311646127855	0.021283122113657557	0.01720538399838978	0.06131021882996449	0.011122655881734098	0.10286500511584218	0.013286394221828212	0.14339699249569166	0.012224940476487166	0.18417157753217528	0.017066178710873382	0.22544956278871084	0.020044462795094337	0.2645210341336152	0.013548418489525475	0.2940638392302551	-0.014258330031027555	0.31829426606990424	-0.04751014131847562	0.3324545420221715	-0.08658898566902316
